name,special_price,price
"Iphone 14 Pro 6.1"" - 256GB ROM + 6GB RAM- Nano Sim",989999,1100000
"Iphone 14 Pro 6.1"" - 256GB ROM + 6GB RAM- Nano Sim",989999,1000000
"Iphone 14 Pro 6.1""- 256GB ROM + 6GB RAM- Nano Sim",989999,1000000
Iphone 14 Pro 6.1- 256GB ROM + 6GB RAM- Nano Sim,989999,1100000
"Iphone 14 Pro 6.1""- 128GB ROM + 6GB RAM- Nano Sim",929999,1000000
"Iphone 14 Pro 6.1"" - 128GB ROM + 6GB RAM- Nano Sim",929999,1000000
"Iphone 14 Pro 6.1"" - 128GB ROM + 6GB RAM- Nano Sim",929999,1000000
"Iphone 14 Pro 6.1"" - 128GB ROM + 6GB RAM- Nano Sim",929999,1000000
"Iphone 14 - 6.1"" - 256GB ROM - 6GB RAM - 5g- 3279mAh",799900,950000
"Iphone 14 - 6.1"" - 256GB ROM - 6GB RAM - 5g- 3279mAh",799990,950000
"Iphone 14 - 6.1"" - 256GB ROM - 6GB RAM - 5g- 3279mAh",799900,900000
"Iphone 14 - 6.1"" - 256GB ROM - 6GB RAM - 5g- 3279mAh",799900,950000
"Iphone 14 - 6.1"" - 256GB ROM - 6GB RAM - 5g- 3279mAh",799900,950000
"Iphone 14 - 6.1"" - 256GB ROM - 6GB RAM - 5g- 3279mAh",799900,950000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - 5g- 3279mAh",739900,900000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - 5g- 3279mAh",739900,900000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - 5g- 3279mAh",739990,900000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - 5g- 3279mAh",789900,900000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - 5g- 3279mAh",789900,900000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB Ram - 5g- 3279mAh",789900,900000
"Iphone 15 Pro Max - 6.7"" - 512GB ROM - 8GB RAM - 4422mAh",1787990,2000000
"Iphone 15 Pro Max - 6.7"" - 512GB ROM - 8GB RAM - 4422mAh",1787990,2000000
"iPhone 15 Pro Max - 6.7"" - 512GB ROM - 8GB RAM - 4422mAh",1787990,1800000
"iPhone 15 Pro Max - 6.7"" - 512GB ROM - 8GB RAM - 4422mAh",1787990,2000000
"Iphone 15 Pro Max - 6.7"" - 256GB ROM - 8GB RAM - 4422mAh",1639990,1800000
"Iphone 15 Pro Max - 6.7"" - 256GB ROM - 8GB RAM - 4422mAh",1639990,1800000
"Iphone 15 Pro Max - 6.7"" - 256GB ROM - 8GB RAM - 4422mAh",1639990,1800000
"Iphone 15 Pro Max - 6.7"" - 256GB ROM - 8GB RAM - 4422mAh",1639990,1800000
"Iphone 16 Pro Max - 6.9"" - 1TB ROM - 8GB RAM - 5g - 4685mAh",2599900,3000000
"Iphone 16 Pro Max - 6.9"" - 1TB ROM - 8GB RAM - 5g - 4685mAh",2599900,3000000
"Iphone 16 Pro Max - 6.9"" - 1TB ROM - 8GB RAM - 5g - 4685mAh",2599900,3000000
"Iphone 16 Pro Max - 6.9"" - 1Terabyte Rom - 8GB RAM - 5g - 4685mAh",2599900,3000000
"Iphone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - 5g - 4685mAh",2250000,2500000
"Iphone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - 5g - 4685mAh",2250000,2500000
"Iphone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - 5g - 4685mAh",2250000,2500000
"Iphone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 4685mAh",2250000,2500000
"Iphone 16 Pro Max - 6.9"" - 256GB ROM - 8GB RAM -  5g - 4685mAh",1940000,2300000
"Iphone 16 Pro Max - 6.9"" - 256GB ROM - 8GB RAM -  5g - 4685mAh",1930000,2300000
"Iphone 16 Pro Max - 6.9"" - 256GB ROM - 8GB RAM - 5g - 4685mAh",1940000,2300000
"Iphone 16 Pro Max - 6.9"" - 256GB ROM - 8GB RAM - Single Sim - 5g - 4685mAh",1940000,2300000
Iphone 16 Pro - 256GB - 8GB - 5g - White Titanium,1729999,1900000
Iphone 16 Pro - 128GB - 8GB - 5g - Natural Titanium,1599999,1900000
Iphone 16 Pro - 128GB - 8GB - 5g - Desert Titanium,1599999,1900000
Iphone 16 Pro - 128GB - 8GB - 5g - Titanium Black,1599999,1900000
Iphone 16 Pro - 128GB - 8GB - 5g - White Titanium,1599999,1800000
"Iphone 15 - 6.1""- 128GB ROM - 6GB RAM - 3349mAh",979999,1200000
"Iphone 15 - 6.1""- 128GB ROM - 6GB RAM - 3349mAh",979999,1200000
"Iphone 15 - 6.1""- 128GB ROM - 6GB RAM - 3349mAh",979999,1200000
"Iphone 15 - 6.1""- 128GB ROM - 6GB RAM - 3349mAh",979999,1200000
"Iphone 15 - 6.1""- 128GB ROM - 6GB RAM - 3349mAh",979999,1200000
"iPhone 15 - 6.1""- 256GB ROM - 6GB RAM - 3349mAh",1135999,1300000
"Iphone 15 Pro 6.1"" - 128GB ROM + 8GB RAM - Nano Sim - 5g",1370000,1600000
"Iphone 15 Pro 6.1"" - 128GB ROM + 8GB RAM - Nano Sim - 5g",1370000,1600000
"Iphone 15 Pro 6.1"" - 128GB ROM + 8GB RAM - Nano Sim - 5g",1370000,1600000
"Iphone 15 Pro 6.1"" - 128GB ROM + 8GB RAM - Nano Sim - 5g",1370000,1600000
"Iphone 15 - 6.1""- 256GB ROM - 6GB RAM - 3349mAh",1135999,1400000
"Iphone 15 - 6.1""- 256GB ROM - 6GB RAM - 3349mAh",1135999,1400000
"Iphone 15 - 6.1""- 256GB ROM - 6GB RAM - 3349mAh",1135999,1400000
"Iphone 15 - 6.1""- 256GB ROM - 6GB RAM - 3349mAh",1135999,1400000
"Iphone 15 Pro 6.1"" - 256GB ROM + 8GB RAM - Nano Sim - 5g",1460000,1700000
"Iphone 15 Pro 6.1"" - 256GB ROM + 8GB RAM - Nano Sim - 5g",1460000,1700000
"Iphone 15 Pro 6.1"" - 256GB ROM + 8GB RAM - Nano Sim - 5g",1460000,1700000
"Iphone 15 Pro 6.1"" - 256GB ROM + 8GB RAM - Nano Sim - 5g",1460000,1700000
Iphone 16 Pro - 256GB - 8GB - 5g - Natural Titanium,1729999,1900000
Iphone 16 Pro - 256GB - 8GB - 5g - Desert Titanium,1729999,1900000
Iphone 16 Pro - 256GB - 8GB - 5g - Titanium Black,1729999,1900000
Iphone 16 - 8GB -256GB - 5g - White,1390000,1400000
Iphone 16 - 8GB -256GB - 5g - Pink,1390000,1400000
Iphone 16 - 8GB -256GB - 5g - Teal,1390000,1400000
Iphone 16 - 8GB -256GB - 5g - Black,1390000,1500000
Iphone 16 - 8GB -128GB - 5g - White,1250000,1400000
